"SYMBOL","GSM93789.CEL.gz","GSM93920.CEL.gz","GSM93921.CEL.gz","GSM93922.CEL.gz","GSM93923.CEL.gz","GSM93924.CEL.gz","GSM93925.CEL.gz","GSM93926.CEL.gz","GSM93927.CEL.gz","GSM93928.CEL.gz","GSM93929.CEL.gz","GSM93932.CEL.gz","GSM93938.CEL.gz","GSM93939.CEL.gz","GSM93941.CEL.gz","GSM93943.CEL.gz","GSM93944.CEL.gz","GSM93946.CEL.gz","GSM93948.CEL.gz","GSM93950.CEL.gz","GSM93952.CEL.gz","GSM93954.CEL.gz"
"AARS1",7.07055687190269,6.80340585486371,6.39372817261017,6.99523207983964,6.74626238929488,7.02725812457702,7.53656878041738,7.18295080172234,6.84631776520815,7.14910568588879,7.20984955264102,6.95014447209758,6.8459469421747,6.57448393814761,6.39971606002837,6.71295786921216,6.80113535274074,6.66938863872411,6.76943290525569,6.7554034903036,6.57068974930156,6.44615722763592
"AARS2",5.16803468531666,4.63527978948053,5.0458465977443,5.16728851516022,5.01677458113834,5.03297806093264,4.34434369068646,4.83697755588084,5.0687110693558,4.92615974063351,5.34533805686329,5.2754767187313,4.41596993513815,5.33369043916032,5.22460922770598,4.81688796264937,4.65797652059466,4.52970402046139,4.57110573265073,4.77316299986637,4.96980969182709,4.84267267834858
"AARSD1",4.64329313076007,4.27879563696905,4.39690632747778,4.36231209630632,4.64488643318256,4.49094780081813,4.82076064298657,4.69955189803241,4.29149997973765,4.55190412864835,4.62637098322806,4.75533268477431,4.5578637370226,4.79649734031866,4.15682887031567,4.83485056386418,4.57417279138182,4.24853397914102,4.60781434853098,4.43293461040067,4.44911463078046,4.30727130365259
"AASDH",4.14048912999341,4.29545261157943,3.91921233309794,4.0326817962772,4.36978429421125,4.27920206015529,4.29189822720572,4.25849382156316,4.20585541595412,4.18516277749386,4.06898378189994,4.24526384088818,4.50251737110578,4.29995361573467,4.820073436703,4.68695094332558,4.72311214035268,3.88150291939813,4.02904042502432,4.25311987562342,4.75360390123743,4.63787894226198
"AASDHPPT",3.80527973046478,4.014817029633,3.59007600428731,3.74065149744856,3.77359311550713,4.1810857835101,4.26425797561461,4.07235941679076,3.76777081633648,3.72035949204909,3.44584765152555,3.51591588573996,4.16203472694977,3.72183952327233,3.79742406424506,4.1630325976586,3.99947466410707,3.69127139381778,3.7266459095002,4.18509176660032,3.82935102971079,4.25865490206138
"AASS",2.63328928082277,2.20812961256448,2.41562857296156,2.89502250233452,2.50710704272648,2.69142457237689,2.63290587953798,2.60318571555993,2.39378168218965,2.15078634186108,2.45390355431141,2.39464642334585,2.22344965237387,2.43112261487863,2.78713560424036,2.44608278525445,2.34048810615623,2.32679124287149,2.48257553621738,2.19264365372852,2.43876877099224,2.73553325485834
"AATBC",3.5728994094304,2.71515221444991,2.89728187615019,2.95611585339572,2.4613094207323,2.64248401593159,2.91861377310852,2.93885734982459,2.68048761824657,2.76812859092104,2.66133987723889,2.77631469176087,2.65424588363151,3.34052365199369,2.62627275150628,2.89567664606267,2.5065981684386,3.43740756488441,3.53498004505827,2.84669895434222,3.54417700455508,3.04497970879463
"AATF",7.28886156088282,6.79799599743226,7.010388183149,6.70700220917773,6.78157858062905,6.87943417991707,7.01634057670748,6.82021224002463,6.69565051958368,6.98891803328571,6.94138342119354,6.80229910160927,6.99601287875546,6.7800280132404,6.44204242800878,6.90942119946213,6.79055338830403,6.51923554926437,6.53167130018507,6.80057935234933,6.74026536831689,6.53099287205883
"AATK",6.32311782661098,6.09786489389441,6.0940539300138,6.33882466393301,5.66951724790361,5.89904344025229,6.04754638539227,6.17749768641378,6.37738842732125,6.08402720801402,6.62411536066813,5.80834111306187,5.58088727937547,6.20649088483986,6.1239296427956,5.89619532683822,6.01180541080388,5.87036920088942,5.90365894488677,5.93050069907934,5.88187680356779,5.93054747598937
"ABAT",4.21918323066991,5.65258420337913,5.5514916724635,4.58192678756071,5.0054220069267,4.72522656594607,4.18285930883427,4.38864102983418,4.88948885640853,5.02292159666603,5.03191238868954,4.75494781356136,5.8521370290445,5.49681777438757,5.63438799923414,5.53434543484475,5.83951763576806,6.23231529703359,6.08814684003586,5.96459155732371,5.645665151316,5.98260385401364
