"Gene","GS","GS_p","MM","MM_p"
"CBX4",0.663487966131765,4.43455410171856e-51,0.765398274948266,1.17590555675993e-76
"IPO5",0.65261207104836,6.19717874364337e-49,0.831173621844654,1.85805924859949e-101
"GTF2F2",0.557522417669281,2.1425555594591e-33,0.753774545728615,4.10070293322048e-73
"UCHL3",0.54151379393968,3.00786703304215e-31,0.756039350085081,8.67547835748119e-74
"SHROOM4",0.612899635473072,8.43233381654812e-42,0.832859595696657,3.13433635134414e-102
"SNX24",-0.654979554948986,2.15151675469757e-49,-0.808541549565837,7.61084874303382e-92
"CASD1",-0.647025795348837,7.24668869441691e-48,-0.762487001276209,9.47757864377998e-76
"ABHD5",-0.612054945017921,1.16619287649567e-41,-0.75451196233247,2.47758894501558e-73
"FITM2",0.484702844901902,1.73016795896222e-24,0.732454870164928,4.18694840134588e-67
"CTNNBL1",0.604904454086166,1.74602305540396e-40,0.826384053035294,2.6234326229543e-99
"EBPL",0.583098041460426,4.45557441428193e-37,0.756488538634811,6.36245416383443e-74
"TTPAL",0.582719225613987,5.07961242226833e-37,0.831000604189179,2.22788465690117e-101
"ADCY3",0.590551541193605,3.2620394876562e-38,0.745339379954967,1.15350883591015e-70
"CETN2",0.555151234085981,4.53256839093383e-33,0.701045510878859,3.10342755345769e-59
"POLR1D",0.6194213894714,6.67128573042806e-43,0.802310895050525,2.01651749639739e-89
"GRINA",0.588956771514043,5.73987366582184e-38,0.744883142317513,1.55499893632453e-70
"MOCS3",0.530450333123171,7.87682267850496e-30,0.751261217251482,2.2537317773188e-72
"GNPDA1",0.647346290043233,6.30195258988067e-48,0.79267075241539,7.72323080167912e-86
"PDX1",0.686824932997358,5.31133260373892e-56,0.805239585554893,1.50153522499672e-90
"EMD",0.599696356615782,1.20096749467685e-39,0.769040341863905,8.27602590033258e-78
"GPALPP1",0.548123303493145,4.03347703764552e-32,0.745344955080484,1.14930208237679e-70
"USP27X",0.546186461981716,7.3010699102637e-32,0.712855918654024,4.54044721283036e-62
"TGDS",0.603918360415311,2.52232678341515e-40,0.715293527461191,1.13259035296949e-62
"SMCHD1",-0.593382282328847,1.18714679839841e-38,-0.786262077307299,1.46588243714754e-83
"TM9SF4",0.527171095375798,2.0264186311824e-29,0.764580496638478,2.11975465824037e-76
"YTHDF1",0.613809719616686,5.93945573402796e-42,0.841366481318953,2.88436629587767e-106
"CAMK2D",-0.631457176552884,5.26671496705805e-45,-0.795670695951463,6.21497994749967e-87
"PSMA7",0.625490996942628,5.9611923858532e-44,0.854738749527018,4.05723820726073e-113
"ZSWIM6",-0.657275819060256,7.64095294435318e-50,-0.782120718169355,3.95367273843814e-82
"TARP",-0.51829937473601,2.48218587163485e-28,-0.700615145371968,3.91293453711024e-59
"ACTR5",0.617543098994454,1.39368215473437e-42,0.829566241203526,9.95430616337696e-101
"CDK5RAP1",0.633958567438054,1.8742859543795e-45,0.869717881568835,1.16216849461725e-121
"ATP6V1F",0.676944160380217,7.32040190252165e-54,0.795444452572946,7.52678760328073e-87
"EIF6",0.451140951395758,4.74042627302701e-21,0.700289835952125,4.66092001562419e-59
"HEXIM1",-0.556233516731061,3.22210343909878e-33,-0.703697745033316,7.37028894145622e-60
"PIGU",0.466459923094926,1.42456095671241e-22,0.732738109404385,3.51457692018189e-67
"ATOSA",-0.643356190351306,3.54462287162721e-47,-0.794549992835868,1.60102947443305e-86
"EEPD1",0.576094704402072,4.89111152021111e-36,0.732344502684601,4.48224055700918e-67
"PATZ1",0.594903450202599,6.86762991568496e-39,0.736197529505371,4.0682930294375e-68
"E2F1",0.560784089785779,7.56876905998099e-34,0.747397431263138,2.9747502186679e-71
"TRAF5",0.582409570631667,5.65338967368711e-37,0.713997864155034,2.3734841765989e-62
"TCF7",0.585623783472464,1.85111271361148e-37,0.808322299728971,9.29410360647537e-92
"CHLSN",0.577615947549626,2.9209280862578e-36,0.773405813435952,3.22162212372009e-79
"CELSR1",0.640859170440254,1.03116662881693e-46,0.722176149544634,2.0732872903793e-64
"UGGT2",0.569462485288595,4.48707711515219e-35,0.736648910678867,3.06290656553391e-68
"CTPS2",0.559636589170165,1.09290354639238e-33,0.753664614382151,4.41991705937466e-73
"SLC7A6",0.592293177635927,1.75353122726768e-38,0.7682061768688,1.52638494795244e-77
"DDX56",0.644978944876421,1.76141063837167e-47,0.809168960228353,4.29038341501155e-92
"RNF152",-0.705303083380782,3.06329918398033e-60,-0.799374315710997,2.61110825196692e-88
"DARS1",0.66253357941838,6.8977893021679e-51,0.840047229157213,1.26301562760693e-105
"SND1",0.636151606051752,7.51683357737572e-46,0.79026785115454,5.64131379089567e-85
